title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
ST64641/2025,Thompsons Bay,SHAKAS ROCK,243,0,SS THE ISLANDS,6,Thompsons Bay,Ocean,61,2025-08-01,2025-09-16,3000000,152,19736,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST62586/2025,Thompsons Bay,SHAKAS ROCK,243,0,SS THE ISLANDS,15,Thompsons Bay,Ocean,61,2025-02-07,2025-08-28,4300000,136,31617,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST61511/2025,Thompsons Bay,SHAKAS ROCK,80,10,SS MARTINIQUE CHAKAS ROCK,76,Thompsons Bay,Ocean,67,,2025-08-19,0,170,0,False,natural_person,,2,sectional_title,False,lightstone_export
ST20045/2025,Thompsons Bay,SHAKAS ROCK,80,3,SS THE BEACON,76,Thompsons Bay,Ocean,92,2025-06-23,2025-08-05,2200000,95,23157,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST19181/2025,Thompsons Bay,SHAKAS ROCK,80,10,SS MARTINIQUE CHAKAS ROCK,6,Thompsons Bay,Ocean,67,2025-06-10,2025-07-29,5995000,178,33679,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST19181/2025,Thompsons Bay,SHAKAS ROCK,80,10,SS MARTINIQUE CHAKAS ROCK,9,Thompsons Bay,Ocean,67,2025-06-10,2025-07-29,5995000,15,399666,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST19181/2025,Thompsons Bay,SHAKAS ROCK,80,10,SS MARTINIQUE CHAKAS ROCK,5,Thompsons Bay,Ocean,67,2025-06-10,2025-07-29,5995000,3,1998333,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST18694/2025,Thompsons Bay,SHAKAS ROCK,244,1,SS CHAKAS DUNES,5,Thompsons Bay,,,2025-05-20,2025-07-23,1495000,48,31145,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST18444/2025,Thompsons Bay,SHAKAS ROCK,80,3,SS THE BEACON,85,Thompsons Bay,Ocean,92,2025-04-08,2025-07-21,298725,17,17572,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
ST17705/2025,Thompsons Bay,SHAKAS ROCK,80,3,SS THE BEACON,80,Thompsons Bay,Ocean,92,2025-05-19,2025-07-11,2335000,95,24578,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST17581/2025,Thompsons Bay,SHAKAS ROCK,80,3,SS THE BEACON,5,Thompsons Bay,Ocean,92,2025-05-18,2025-07-10,3500000,115,30434,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST17459/2025,Thompsons Bay,SHAKAS ROCK,80,3,SS THE BEACON,84,Thompsons Bay,Ocean,92,2025-05-09,2025-07-09,2500000,17,147058,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST17459/2025,Thompsons Bay,SHAKAS ROCK,80,3,SS THE BEACON,49,Thompsons Bay,Ocean,92,2025-05-09,2025-07-09,2500000,115,21739,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST17217/2025,Thompsons Bay,SHAKAS ROCK,204,14,SS KALLISTI,15,Thompsons Bay,Ocean,101,2025-05-10,2025-07-07,3185000,127,25078,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST16612/2025,Thompsons Bay,SHAKAS ROCK,80,3,SS THE BEACON,64,Thompsons Bay,Ocean,92,2025-05-13,2025-06-30,3472500,115,30195,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST15344/2025,Thompsons Bay,SHAKAS ROCK,80,3,SS THE BEACON,42,Thompsons Bay,Ocean,92,2025-04-08,2025-06-18,2600000,115,22608,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
ST15014/2025,Thompsons Bay,SHAKAS ROCK,243,0,SS THE ISLANDS,12,Thompsons Bay,Ocean,61,2025-03-27,2025-06-13,3300000,154,21428,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST14151/2025,Thompsons Bay,SHAKAS ROCK,80,10,SS MARTINIQUE CHAKAS ROCK,36,Thompsons Bay,Ocean,67,2025-04-10,2025-06-05,5000000,134,37313,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST14151/2025,Thompsons Bay,SHAKAS ROCK,80,10,SS MARTINIQUE CHAKAS ROCK,37,Thompsons Bay,Ocean,67,2025-04-10,2025-06-05,5000000,20,250000,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST10568/2025,Thompsons Bay,SHAKAS ROCK,204,14,SS KALLISTI,26,Thompsons Bay,Ocean,101,2025-03-25,2025-05-06,2370000,119,19915,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST9729/2025,Thompsons Bay,SHAKAS ROCK,80,3,SS THE BEACON,74,Thompsons Bay,Ocean,92,2025-02-02,2025-04-24,2250000,95,23684,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST6068/2025,Thompsons Bay,SHAKAS ROCK,204,5,SS KAMARI,4,Thompsons Bay,,,2024-11-30,2025-03-17,3600000,161,22360,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST5773/2025,Thompsons Bay,SHAKAS ROCK,90,1,SS MILKWOOD,11,Thompsons Bay,Ocean,84,2025-01-13,2025-03-13,3600000,345,10434,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST4213/2025,Thompsons Bay,SHAKAS ROCK,248,0,SS LA ROCELLA,5,Thompsons Bay,Ocean,93,2024-11-11,2025-02-27,7700000,350,22000,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST4213/2025,Thompsons Bay,SHAKAS ROCK,248,0,SS LA ROCELLA,7,Thompsons Bay,Ocean,93,2024-11-11,2025-02-27,7700000,16,481250,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST3311/2025,Thompsons Bay,SHAKAS ROCK,204,14,SS KALLISTI,12,Thompsons Bay,Ocean,101,2024-09-25,2025-02-18,2950000,128,23046,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST1945/2025,Thompsons Bay,SHAKAS ROCK,80,10,SS MARTINIQUE CHAKAS ROCK,75,Thompsons Bay,Ocean,67,,2025-01-30,0,276,0,False,legal_entity,,1,sectional_title,False,lightstone_export
ST1847/2025,Thompsons Bay,SHAKAS ROCK,80,3,SS THE BEACON,80,Thompsons Bay,Ocean,92,2024-11-15,2025-01-29,1825000,95,19210,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST1069/2025,Thompsons Bay,SHAKAS ROCK,80,10,SS MARTINIQUE CHAKAS ROCK,67,Thompsons Bay,Ocean,67,2024-10-20,2025-01-21,3195000,120,26625,False,natural_person,,1,sectional_title,True,lightstone_export
ST484/2025,Thompsons Bay,SHAKAS ROCK,247,0,SS LONG ISLAND,115,Thompsons Bay,Ocean,247,2024-10-26,2025-01-14,4000000,17,235294,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST484/2025,Thompsons Bay,SHAKAS ROCK,247,0,SS LONG ISLAND,102,Thompsons Bay,Ocean,247,2024-10-26,2025-01-14,4000000,153,26143,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST35586/2024,Thompsons Bay,SHAKAS ROCK,80,10,SS MARTINIQUE CHAKAS ROCK,23,Thompsons Bay,Ocean,67,2024-10-18,2024-12-13,4995000,2,2497500,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST35586/2024,Thompsons Bay,SHAKAS ROCK,80,10,SS MARTINIQUE CHAKAS ROCK,13,Thompsons Bay,Ocean,67,2024-10-18,2024-12-13,4995000,180,27750,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T33904/2024,Thompsons Bay,SHAKAS ROCK,90,10,,,Thompsons Bay,,,2024-07-18,2024-11-29,1150,423,2,True,legal_entity,legal_entity,1,freehold,False,lightstone_export
ST33238/2024,Thompsons Bay,SHAKAS ROCK,244,1,SS CHAKAS DUNES,3,Thompsons Bay,,,2024-08-02,2024-11-25,1200000,67,17910,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST33237/2024,Thompsons Bay,SHAKAS ROCK,244,1,SS CHAKAS DUNES,4,Thompsons Bay,,,2024-08-02,2024-11-25,1200000,67,17910,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST31315/2024,Thompsons Bay,SHAKAS ROCK,83,0,SS MIRAMAR,4,Thompsons Bay,Ocean,91,2021-12-15,2024-11-08,8900000,441,20181,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST30995/2024,Thompsons Bay,SHAKAS ROCK,80,3,SS THE BEACON,102,Thompsons Bay,Ocean,92,2024-08-21,2024-11-06,325000,17,19117,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST30994/2024,Thompsons Bay,SHAKAS ROCK,80,3,SS THE BEACON,28,Thompsons Bay,Ocean,92,2024-08-21,2024-11-06,2725000,115,23695,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST30737/2024,Thompsons Bay,SHAKAS ROCK,244,1,SS CHAKAS DUNES,1,Thompsons Bay,,,,2024-11-04,0,123,0,False,legal_entity,,1,sectional_title,False,lightstone_export
ST30746/2024,Thompsons Bay,SHAKAS ROCK,244,1,SS CHAKAS DUNES,1,Thompsons Bay,,,2024-09-12,2024-11-04,2350000,123,19105,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
