title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
ST2573/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,25,Brettenwood,,,,2020-02-03,0,237,0,False,legal_entity,,1,sectional_title,False,lightstone_export
ST2594/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,25,Brettenwood,,,2018-03-29,2020-02-03,2700000,237,11392,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST2574/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,26,Brettenwood,,,,2020-02-03,0,186,0,False,legal_entity,,1,sectional_title,False,lightstone_export
ST2595/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,26,Brettenwood,,,2017-12-15,2020-02-03,3360000,186,18064,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST2575/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,27,Brettenwood,,,,2020-02-03,0,178,0,False,legal_entity,,1,sectional_title,False,lightstone_export
ST2596/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,27,Brettenwood,,,2018-03-12,2020-02-03,3100000,178,17415,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST2576/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,28,Brettenwood,,,,2020-02-03,0,179,0,False,legal_entity,,1,sectional_title,False,lightstone_export
ST2597/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,28,Brettenwood,,,2019-01-29,2020-02-03,2670400,179,14918,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST2577/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,29,Brettenwood,,,,2020-02-03,0,179,0,False,legal_entity,,1,sectional_title,False,lightstone_export
ST2578/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,30,Brettenwood,,,,2020-02-03,0,190,0,False,legal_entity,,1,sectional_title,False,lightstone_export
ST2598/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,30,Brettenwood,,,2018-05-07,2020-02-03,3640000,190,19157,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST2579/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,31,Brettenwood,,,,2020-02-03,0,187,0,False,legal_entity,,1,sectional_title,False,lightstone_export
ST2599/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,31,Brettenwood,,,2019-11-19,2020-02-03,3016228,187,16129,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST2580/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,32,Brettenwood,,,,2020-02-03,0,189,0,False,legal_entity,,1,sectional_title,False,lightstone_export
ST2600/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,32,Brettenwood,,,2019-07-08,2020-02-03,3640000,189,19259,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
ST2581/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,33,Brettenwood,,,,2020-02-03,0,178,0,False,legal_entity,,1,sectional_title,False,lightstone_export
ST2601/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,33,Brettenwood,,,2018-02-21,2020-02-03,2990000,178,16797,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
