title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
ST2208/2026,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,22,Dunkirk Estate,,,2025-11-11,2026-02-03,3050000,,,False,,,1,sectional_title,True,lightstone_export
ST2208/2026,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,57,Dunkirk Estate,,,2025-11-11,2026-02-03,3050000,,,False,,,1,sectional_title,True,lightstone_export
ST1435/2026,Dunkirk Estate,DUNKIRK ESTATE,180,0,SS THE GLADES,5,Dunkirk Estate,,,2025-10-17,2026-01-28,4750000,,,False,,,2,sectional_title,True,lightstone_export
ST636/2026,Dunkirk Estate,DUNKIRK ESTATE,208,0,SS SAXONWOOD,8,Dunkirk Estate,,,2025-10-04,2026-01-15,8700000,,,False,,,2,sectional_title,True,lightstone_export
T75902/2025,Dunkirk Estate,DUNKIRK ESTATE,62,0,,,Dunkirk Estate,Boundary,62,2022-11-01,2025-12-22,880000,,,True,,,1,freehold,False,lightstone_export
ST74907/2025,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,17,Dunkirk Estate,,,2025-10-20,2025-12-12,3250000,,,False,,,1,sectional_title,True,lightstone_export
ST74907/2025,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,52,Dunkirk Estate,,,2025-10-20,2025-12-12,3250000,,,False,,,1,sectional_title,True,lightstone_export
ST74112/2025,Dunkirk Estate,DUNKIRK ESTATE,20,0,SS THE BLOK,4,Dunkirk Estate,Hillside,20,2025-10-23,2025-12-08,6350000,,,False,,,1,sectional_title,True,lightstone_export
ST72573/2025,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,35,Dunkirk Estate,,,2025-08-20,2025-11-26,5250000,,,False,,,1,sectional_title,True,lightstone_export
ST72573/2025,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,64,Dunkirk Estate,,,2025-08-20,2025-11-26,5250000,,,False,,,1,sectional_title,True,lightstone_export
T71973/2025,Dunkirk Estate,DUNKIRK ESTATE,58,0,,,Dunkirk Estate,Boundary,58,2025-09-29,2025-11-21,10500000,,,False,,,1,freehold,True,lightstone_export
ST70189/2025,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,24,Dunkirk Estate,,,2025-05-12,2025-11-05,3850000,,,False,,,1,sectional_title,True,lightstone_export
ST70189/2025,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,67,Dunkirk Estate,,,2025-05-12,2025-11-05,3850000,,,False,,,1,sectional_title,True,lightstone_export
T68148/2025,Dunkirk Estate,DUNKIRK ESTATE,191,0,,,Dunkirk Estate,,,2025-08-27,2025-10-20,5995000,,,False,,,2,freehold,True,lightstone_export
T67455/2025,Dunkirk Estate,DUNKIRK ESTATE,82,0,,,Dunkirk Estate,Forest,82,2025-08-20,2025-10-13,5650000,,,False,,,1,freehold,True,lightstone_export
T62192/2025,Dunkirk Estate,DUNKIRK ESTATE,160,0,,,Dunkirk Estate,Ashwood,9,2025-04-22,2025-08-26,4350000,,,False,,,1,freehold,True,lightstone_export
T60860/2025,Dunkirk Estate,DUNKIRK ESTATE,5,0,,,Dunkirk Estate,Sameja,5,2025-02-10,2025-08-13,7800000,,,False,,,2,freehold,True,lightstone_export
T20005/2025,Dunkirk Estate,DUNKIRK ESTATE,183,0,,,Dunkirk Estate,Toleda,183,2025-01-28,2025-08-05,4995000,,,False,,,1,freehold,True,lightstone_export
ST19946/2025,Dunkirk Estate,DUNKIRK ESTATE,96,0,SS SANDWOOD HILLS,1,Dunkirk Estate,Sameja,96,2025-06-27,2025-08-04,4250000,,,False,,,1,sectional_title,True,lightstone_export
ST18336/2025,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,33,Dunkirk Estate,,,2025-06-08,2025-07-18,3500000,,,False,,,2,sectional_title,True,lightstone_export
T17254/2025,Dunkirk Estate,DUNKIRK ESTATE,175,0,,,Dunkirk Estate,Short,175,2025-04-25,2025-07-08,4800000,,,False,,,2,freehold,True,lightstone_export
ST15126/2025,Dunkirk Estate,DUNKIRK ESTATE,208,0,SS SAXONWOOD,3,Dunkirk Estate,,,2025-02-04,2025-06-17,7495000,,,False,,,1,sectional_title,True,lightstone_export
T13601/2025,Dunkirk Estate,DUNKIRK ESTATE,185,0,,,Dunkirk Estate,,,2025-04-23,2025-06-02,4500000,,,False,,,1,freehold,True,lightstone_export
ST12444/2025,Dunkirk Estate,DUNKIRK ESTATE,96,0,SS SANDWOOD HILLS,18,Dunkirk Estate,Sameja,96,2024-12-12,2025-05-22,4260000,,,False,,,2,sectional_title,True,lightstone_export
T11970/2025,Dunkirk Estate,DUNKIRK ESTATE,153,0,,,Dunkirk Estate,Ashwood,2,2025-03-03,2025-05-19,3875000,,,False,,,2,freehold,True,lightstone_export
T9788/2025,Dunkirk Estate,DUNKIRK ESTATE,55,0,,,Dunkirk Estate,Boundary,55,2024-12-09,2025-04-25,7400000,,,False,,,1,freehold,True,lightstone_export
T7625/2025,Dunkirk Estate,DUNKIRK ESTATE,45,0,,,Dunkirk Estate,Sameja,45,2025-01-23,2025-04-01,13500000,,,False,,,1,freehold,True,lightstone_export
T6262/2025,Dunkirk Estate,DUNKIRK ESTATE,81,0,,,Dunkirk Estate,Forest,81,2025-02-17,2025-03-19,6300000,,,False,,,1,freehold,True,lightstone_export
ST4414/2025,Dunkirk Estate,DUNKIRK ESTATE,96,0,SS SANDWOOD HILLS,7,Dunkirk Estate,Sameja,96,2024-11-05,2025-02-28,4225000,,,False,,,2,sectional_title,True,lightstone_export
ST3649/2025,Dunkirk Estate,DUNKIRK ESTATE,21,0,SS THE DUEX,2,Dunkirk Estate,Hillside,21,2024-09-26,2025-02-21,5050000,,,False,,,2,sectional_title,True,lightstone_export
