title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
T42052/2021,Ballito,BALLITOVILLE,488,0,,,Ballito,Elizabeth,14,2021-09-30,2021-12-14,2850000,1014,2810,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST41909/2021,Ballito,FU,931,399,SS LA MER,3,Ballito,Compensation Beach,58,2021-08-04,2021-12-13,1930000,110,17545,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T41380/2021,Ballito,BALLITOVILLE,31,0,,,Ballito,Compensation,30,2021-09-24,2021-12-10,5950000,1185,5021,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST41424/2021,Ballito,FU,931,401,SS LA 'TOINETTE,6,Ballito,Compensation Beach,10,2021-10-05,2021-12-10,2365000,121,19545,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
T40417/2021,Ballito,BALLITOVILLE,604,0,,,Ballito,Townsend,33,2021-08-04,2021-12-06,2600000,1025,2536,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST40500/2021,Ballito,BALLITOVILLE EXT 3,1415,0,SS ELLIS PLACE MEWS,1,Ballito,Ellis,23,2021-11-02,2021-12-06,2400000,179,13407,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T39558/2021,Ballito,BALLITOVILLE EXT 3,1350,0,,,Ballito,Avondale,7,2021-10-14,2021-11-30,3500000,1018,3438,False,natural_person,natural_person,2,freehold,True,lightstone_export
T39613/2021,Ballito,BALLITOVILLE,2807,0,,,Ballito,Terrabellum,15,2021-09-01,2021-11-30,1925000,505,3811,False,natural_person,natural_person,2,freehold,True,lightstone_export
T39160/2021,Ballito,BALLITOVILLE,549,0,,,Ballito,Townsend,40,2020-12-07,2021-11-25,1600000,1012,1581,False,legal_entity,natural_person,1,freehold,True,lightstone_export
T39175/2021,Ballito,BALLITOVILLE,1095,1,,,Ballito,Ashley,36,2021-09-01,2021-11-25,4000000,924,4329,False,natural_person,natural_person,1,freehold,True,lightstone_export
T38785/2021,Ballito,BALLITOVILLE,27,0,,,Ballito,Compensation,41,2021-10-11,2021-11-23,13700000,1012,13537,False,legal_entity,natural_person,1,freehold,True,lightstone_export
T37296/2021,Ballito,BALLITOVILLE,495,0,,,Ballito,Ashley,11,2021-08-18,2021-11-09,7475000,1012,7386,False,legal_entity,natural_person,1,freehold,True,lightstone_export
T36949/2021,Ballito,BALLITOVILLE,2797,0,,,Ballito,Terrabellum,4,2021-05-06,2021-11-05,2200000,419,5250,False,natural_person,legal_entity,2,freehold,True,lightstone_export
ST36466/2021,Ballito,COMPENSATION BEACH,40,0,SS SIMBALINA,3,Ballito,Compensation Beach,46,2021-09-07,2021-11-02,3060000,202,15148,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST35853/2021,Ballito,FU,931,501,SS DRIFTWOOD,4,Ballito,Compensation Beach,56B,2021-08-20,2021-10-27,3700000,175,21142,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
T35466/2021,Ballito,BALLITOVILLE,435,0,,,Ballito,Ashley,6,2021-08-09,2021-10-26,4500000,1012,4446,False,natural_person,legal_entity,2,freehold,True,lightstone_export
ST35552/2021,Ballito,BALLITOVILLE EXT 3,1431,0,SS THE DUNES,270,Ballito,Avondale,1431,2021-08-05,2021-10-26,4500000,212,21226,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
ST35391/2021,Ballito,BALLITOVILLE EXT 3,1415,0,SS ELLIS PLACE MEWS,3,Ballito,Ellis,23,2021-05-17,2021-10-25,2250000,179,12569,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T34971/2021,Ballito,BALLITOVILLE,587,0,,,Ballito,Townsend,1,2021-05-17,2021-10-21,2800000,1145,2445,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST34716/2021,Ballito,FU,931,399,SS LA MER,4,Ballito,Compensation Beach,58,2021-06-11,2021-10-19,2210000,110,20090,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T34354/2021,Ballito,BALLITOVILLE,505,0,,,Ballito,Elizabeth,36,2021-07-26,2021-10-18,2660000,1012,2628,False,natural_person,natural_person,2,freehold,True,lightstone_export
T33655/2021,Ballito,BALLITOVILLE EXT 3,1438,0,,,Ballito,Tarrick,15,2021-05-25,2021-10-12,1850000,1373,1347,False,natural_person,natural_person,2,freehold,True,lightstone_export
T31863/2021,Ballito,BALLITOVILLE,368,0,,,Ballito,Minerva,13,2021-07-30,2021-09-27,3650000,1022,3571,False,natural_person,natural_person,2,freehold,True,lightstone_export
T31494/2021,Ballito,BALLITOVILLE,506,0,,,Ballito,Elizabeth,34,2021-07-12,2021-09-23,3200000,1012,3162,False,natural_person,natural_person,2,freehold,True,lightstone_export
T29728/2021,Ballito,BALLITOVILLE,2655,0,,,Ballito,Avonhills,23,2021-07-31,2021-09-13,3000000,517,5802,False,natural_person,natural_person,1,freehold,True,lightstone_export
T29751/2021,Ballito,BALLITOVILLE,504,0,,,Ballito,Elizabeth,38,2021-02-26,2021-09-13,2200000,1033,2129,False,natural_person,natural_person,1,freehold,True,lightstone_export
T29559/2021,Ballito,BALLITOVILLE,567,0,,,Ballito,Ballito,9,2021-06-22,2021-09-10,3500000,2153,1625,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST29126/2021,Ballito,BALLITOVILLE,111,0,SS BALLITO VIEW,10,Ballito,Compensation,13,2021-05-25,2021-09-08,1725000,142,12147,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T28420/2021,Ballito,BALLITOVILLE,372,0,,,Ballito,Minerva,21,2021-04-18,2021-09-03,4200000,1022,4109,False,natural_person,natural_person,1,freehold,True,lightstone_export
T27549/2021,Ballito,BALLITOVILLE,367,0,,,Ballito,Minerva,11,2021-07-02,2021-08-31,2100000,1022,2054,False,legal_entity,natural_person,1,freehold,True,lightstone_export
ST27623/2021,Ballito,BALLITOVILLE EXT 3,1417,0,SS CAIRNGORM,4,Ballito,Avondale,3,2021-05-17,2021-08-31,3000000,447,6711,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
T27084/2021,Ballito,BALLITOVILLE,468,0,,,Ballito,Ashley,20A,2021-03-26,2021-08-30,5350000,1012,5286,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST27355/2021,Ballito,FU,931,399,SS LA MER,14,Ballito,Compensation Beach,58,2021-03-26,2021-08-30,1250000,47,26595,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST27401/2021,Ballito,COMPENSATION BEACH,2,1,SS DOLPHIN BAY-BALLITO,12,Ballito,Compensation Beach,52B,2021-05-24,2021-08-30,4225000,10,422500,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST27401/2021,Ballito,COMPENSATION BEACH,2,1,SS DOLPHIN BAY-BALLITO,6,Ballito,Compensation Beach,52B,2021-05-24,2021-08-30,4225000,174,24281,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST26703/2021,Ballito,COMPENSATION BEACH,39,0,SS SANDPIPER BAY,26,Ballito,Compensation Beach,48,2020-12-31,2021-08-26,2200000,119,18487,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
T25496/2021,Ballito,BALLITOVILLE,361,0,,,Ballito,Hawkins,1,2021-05-11,2021-08-23,3250000,1192,2726,False,natural_person,legal_entity,1,freehold,True,lightstone_export
T25311/2021,Ballito,BALLITOVILLE,475,0,,,Ballito,Ashley,54,2021-05-29,2021-08-20,4000000,1012,3952,False,natural_person,natural_person,2,freehold,True,lightstone_export
T24010/2021,Ballito,BALLITOVILLE,76,0,,,Ballito,Sandra,9,2021-05-04,2021-08-11,3550000,1091,3253,False,natural_person,natural_person,1,freehold,True,lightstone_export
T23513/2021,Ballito,BALLITOVILLE,49,0,,,Ballito,David,40,,2021-07-31,0,1022,0,False,natural_person,natural_person,4,freehold,False,lightstone_export
ST23349/2021,Ballito,BALLITOVILLE EXT 3,1415,0,SS ELLIS PLACE MEWS,13,Ballito,Ellis,23,2021-04-30,2021-07-29,2600000,149,17449,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T22176/2021,Ballito,BALLITOVILLE,510,0,,,Ballito,Elizabeth,26,2021-05-21,2021-07-26,2875000,1012,2840,False,natural_person,natural_person,1,freehold,True,lightstone_export
T21973/2021,Ballito,BALLITOVILLE,420,0,,,Ballito,Patricia,4,2021-05-18,2021-07-23,4300000,1029,4178,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST21606/2021,Ballito,COMPENSATION BEACH,39,0,SS SANDPIPER BAY,12,Ballito,Compensation Beach,48,2021-05-07,2021-07-21,2500000,118,21186,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T20695/2021,Ballito,BALLITOVILLE,61,0,,,Ballito,Minerva,24,2021-04-30,2021-07-08,4300000,1017,4228,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST20818/2021,Ballito,BALLITOVILLE,111,0,SS BALLITO VIEW,3,Ballito,Compensation,13,2021-04-13,2021-07-08,2750000,181,15193,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST20818/2021,Ballito,BALLITOVILLE,111,0,SS BALLITO VIEW,11,Ballito,Compensation,13,2021-04-13,2021-07-08,2750000,20,137500,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T19259/2021,Ballito,BALLITOVILLE,585,0,,,Ballito,Townsend,6C,2021-02-22,2021-06-24,4400000,1864,2360,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
T19242/2021,Ballito,BALLITOVILLE,117,0,,,Ballito,Sandra,10,2021-03-15,2021-06-24,1800000,1043,1725,False,natural_person,natural_person,2,freehold,True,lightstone_export
T18663/2021,Ballito,BALLITOVILLE,417,0,,,Ballito,,,2021-03-15,2021-06-18,2800000,1022,2739,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST17395/2021,Ballito,COMPENSATION BEACH,39,0,SS SANDPIPER BAY,20,Ballito,Compensation Beach,48,2021-01-07,2021-06-10,2800000,118,23728,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST15195/2021,Ballito,BALLITOVILLE EXT 3,1431,0,SS THE DUNES,180,Ballito,Avondale,1431,2020-11-13,2021-05-28,2450000,211,11611,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST15194/2021,Ballito,BALLITOVILLE EXT 3,1431,0,SS THE DUNES,140,Ballito,Avondale,1431,2020-11-13,2021-05-28,2437500,210,11607,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
T14184/2021,Ballito,BALLITOVILLE,45,0,,,Ballito,David,48,2020-10-26,2021-05-24,3000000,1022,2935,False,legal_entity,natural_person,1,freehold,True,lightstone_export
T13431/2021,Ballito,BALLITOVILLE,2699,0,,,Ballito,Tucano,12,2021-03-10,2021-05-19,2600000,464,5603,False,natural_person,natural_person,2,freehold,True,lightstone_export
T12187/2021,Ballito,BALLITOVILLE,2661,0,,,Ballito,Avonhills,29,2021-02-19,2021-05-10,2770000,517,5357,False,natural_person,natural_person,1,freehold,True,lightstone_export
T11879/2021,Ballito,BALLITOVILLE,477,0,,,Ballito,Ashley,50,2020-10-21,2021-05-05,2500000,1012,2470,False,natural_person,natural_person,1,freehold,True,lightstone_export
T11665/2021,Ballito,BALLITOVILLE,2660,0,,,Ballito,Avonhills,28,2021-02-05,2021-04-30,2610000,526,4961,False,natural_person,natural_person,2,freehold,True,lightstone_export
