title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
ST16279/2026,Simbithi Eco Estate,SIMBITHI,731,0,SS ETHAFENI,11,Simbithi,Dragon Tree,4,2025-09-30,2026-06-10,1450000,83,17469,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T16152/2026,Simbithi Eco Estate,SIMBITHI,1148,0,,,Simbithi,Cussonia,3,2026-04-23,2026-06-10,22400000,3364,6658,False,legal_entity,natural_person,1,freehold,True,lightstone_export
ST15961/2026,Simbithi Eco Estate,SIMBITHI,1150,0,SS JACANA,16,Simbithi,Simbathi,1150,2026-02-16,2026-06-08,5400000,292,18493,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST15968/2026,Simbithi Eco Estate,SIMBITHI,1202,0,SS SIMBITHI VERVE,11,Simbithi,Simbathi,1202,2026-03-10,2026-06-08,2850000,104,27403,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
T15305/2026,Simbithi Eco Estate,SIMBITHI,1052,0,,,Simbithi,Quinine,8,2026-03-06,2026-06-01,12000000,1533,7827,False,legal_entity,natural_person,1,freehold,True,lightstone_export
ST15171/2026,Simbithi Eco Estate,SIMBITHI,36,0,SS ILALA,86,Simbithi,Sicklebush,3,2026-03-16,2026-05-29,3650000,229,15938,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST14871/2026,Simbithi Eco Estate,SIMBITHI,36,0,SS ILALA,70,Simbithi,Sicklebush,3,2026-03-26,2026-05-28,2900000,157,18471,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST14871/2026,Simbithi Eco Estate,SIMBITHI,36,0,SS ILALA,137,Simbithi,Sicklebush,3,2026-03-26,2026-05-28,2900000,36,80555,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T14666/2026,Simbithi Eco Estate,SIMBITHI,85,0,,,Simbithi,Cussonia,6,2026-03-17,2026-05-27,9600000,1358,7069,False,legal_entity,natural_person,1,freehold,True,lightstone_export
ST14737/2026,Simbithi Eco Estate,SIMBITHI,497,0,SS SABUTI,145,Simbithi,Sicklebush,4,2026-02-27,2026-05-27,5950000,308,19318,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T14627/2026,Simbithi Eco Estate,SIMBITHI,1330,0,,,Simbithi,Silver Oak,1330,,2026-05-27,0,2964,0,False,natural_person,natural_person,1,freehold,False,lightstone_export
T14007/2026,Simbithi Eco Estate,SIMBITHI,1020,0,,,Simbithi,Acacia,22,2026-02-12,2026-05-21,9750000,1972,4944,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
ST13972/2026,Simbithi Eco Estate,SIMBITHI,731,0,SS ETHAFENI,22,Simbithi,Dragon Tree,4,2026-02-09,2026-05-20,1950000,80,24375,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST13540/2026,Simbithi Eco Estate,SIMBITHI,36,0,SS ILALA,31,Simbithi,Sicklebush,3,2026-03-14,2026-05-15,3950000,209,18899,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T13490/2026,Simbithi Eco Estate,SIMBITHI,1249,0,,,Simbithi,Beachwood,1249,2026-03-27,2026-05-15,1800000,870,2068,False,natural_person,legal_entity,2,freehold,True,lightstone_export
ST13118/2026,Simbithi Eco Estate,SIMBITHI,1202,0,SS SIMBITHI VERVE,21,Simbithi,Simbathi,1202,2026-02-07,2026-05-13,3600000,128,28125,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T12669/2026,Simbithi Eco Estate,SIMBITHI,878,0,,,Simbithi,Ironwood,3,2026-01-14,2026-05-08,9950000,1605,6199,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST12570/2026,Simbithi Eco Estate,SIMBITHI,498,0,SS EZULWENI,5,Simbithi,Sicklebush,2,2026-04-07,2026-05-07,7550000,317,23817,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST12308/2026,Simbithi Eco Estate,SIMBITHI,497,0,SS SABUTI,200,Simbithi,Sicklebush,4,2026-03-12,2026-05-05,6750000,329,20516,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
T12225/2026,Simbithi Eco Estate,SIMBITHI,643,0,,,Simbithi,Umvumvu,57,2026-01-26,2026-05-05,2000000,1973,1013,True,natural_person,natural_person,1,freehold,False,lightstone_export
T12158/2026,Simbithi Eco Estate,SIMBITHI,41,0,,,Simbithi,Beverly,41,2025-12-11,2026-05-04,8500000,1993,4264,False,natural_person,natural_person,2,freehold,True,lightstone_export
T11965/2026,Simbithi Eco Estate,SIMBITHI,711,0,,,Simbithi,Feverberry,38,2026-02-02,2026-04-30,13500000,1924,7016,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST11851/2026,Simbithi Eco Estate,SIMBITHI,497,0,SS SABUTI,68,Simbithi,Sicklebush,4,2026-02-27,2026-04-29,5760000,309,18640,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T11776/2026,Simbithi Eco Estate,SIMBITHI,765,0,,,Simbithi,Acacia,47,2026-01-29,2026-04-29,8850000,1376,6431,False,legal_entity,natural_person,1,freehold,True,lightstone_export
ST11634/2026,Simbithi Eco Estate,SIMBITHI,36,0,SS ILALA,38,Simbithi,Sicklebush,3,2026-01-18,2026-04-28,3100000,157,19745,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST11634/2026,Simbithi Eco Estate,SIMBITHI,36,0,SS ILALA,123,Simbithi,Sicklebush,3,2026-01-18,2026-04-28,3100000,36,86111,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST11633/2026,Simbithi Eco Estate,SIMBITHI,497,0,SS SABUTI,80,Simbithi,Sicklebush,4,2026-02-22,2026-04-28,2500000,296,8445,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST11632/2026,Simbithi Eco Estate,SIMBITHI,497,0,SS SABUTI,49,Simbithi,Sicklebush,4,2026-03-02,2026-04-28,5300000,313,16932,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST11627/2026,Simbithi Eco Estate,SIMBITHI,309,0,SS EMOYENI,34,Simbithi,Corkwood,309,2026-01-23,2026-04-28,4300000,205,20975,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST9851/2026,Simbithi Eco Estate,SIMBITHI,497,0,SS SABUTI,210,Simbithi,Sicklebush,4,2026-01-30,2026-04-14,3250000,218,14908,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T9104/2026,Simbithi Eco Estate,SIMBITHI,602,0,,,Simbithi,Feverberry,5,2025-08-19,2026-04-09,9550000,1713,5575,False,natural_person,natural_person,2,freehold,True,lightstone_export
T9184/2026,Simbithi Eco Estate,SIMBITHI,1247,0,,,Simbithi,Beachwood,1247,2024-02-01,2026-04-08,1900000,921,2062,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
T8952/2026,Simbithi Eco Estate,SIMBITHI,1483,0,,,Simbithi,Maccaranga,1483,2026-01-31,2026-04-08,3100000,1334,2323,False,natural_person,natural_person,2,freehold,True,lightstone_export
T8113/2026,Simbithi Eco Estate,SIMBITHI,303,0,,,Simbithi,Pambathi,4,2026-01-15,2026-03-27,11250000,1333,8439,False,natural_person,natural_person,1,freehold,True,lightstone_export
T7618/2026,Simbithi Eco Estate,SIMBITHI,1474,0,,,Simbithi,Beachcroft,1474,2026-01-24,2026-03-24,8600000,1040,8269,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST7454/2026,Simbithi Eco Estate,SIMBITHI,36,0,SS ILALA,27,Simbithi,Sicklebush,3,2025-10-15,2026-03-23,3695000,209,17679,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
T7213/2026,Simbithi Eco Estate,SIMBITHI,882,0,,,Simbithi,Ironwood,11,2025-10-16,2026-03-20,8500000,1598,5319,False,natural_person,legal_entity,1,freehold,True,lightstone_export
ST7228/2026,Simbithi Eco Estate,SIMBITHI,166,0,SS SAVANNA,46,Simbithi,Bridelia,5,2026-01-21,2026-03-20,4000000,176,22727,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
T7061/2026,Simbithi Eco Estate,SIMBITHI,140,0,,,Simbithi,Bridelia,8,2025-10-23,2026-03-19,11750000,2186,5375,False,natural_person,legal_entity,2,freehold,True,lightstone_export
T6855/2026,Simbithi Eco Estate,SIMBITHI,886,0,,,Simbithi,Ironwood,19,2025-12-01,2026-03-18,9300000,1500,6200,False,natural_person,natural_person,1,freehold,True,lightstone_export
T6726/2026,Simbithi Eco Estate,SIMBITHI,911,0,,,Simbithi,Ironwood,24,2025-12-09,2026-03-17,12500000,1254,9968,False,natural_person,natural_person,1,freehold,True,lightstone_export
T6539/2026,Simbithi Eco Estate,SIMBITHI,1320,0,,,Simbithi,Silver Oak,1320,2025-12-03,2026-03-17,2600000,1878,1384,True,natural_person,natural_person,1,freehold,False,lightstone_export
ST6076/2026,Simbithi Eco Estate,SIMBITHI,6,0,SS TAMBOTI,41,Simbithi,Tamboti,11,2026-01-22,2026-03-11,4200000,220,19090,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST6071/2026,Simbithi Eco Estate,SIMBITHI,497,0,SS SABUTI,69,Simbithi,Sicklebush,4,2025-12-15,2026-03-11,6300000,300,21000,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST6053/2026,Simbithi Eco Estate,SIMBITHI,442,0,SS LALAPANZI,1,Simbithi,Simbithi,442,2025-11-26,2026-03-11,4935000,210,23500,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST5784/2026,Simbithi Eco Estate,SIMBITHI,36,0,SS ILALA,77,Simbithi,Sicklebush,3,2025-11-14,2026-03-09,3200000,36,88888,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST5784/2026,Simbithi Eco Estate,SIMBITHI,36,0,SS ILALA,112,Simbithi,Sicklebush,3,2025-11-14,2026-03-09,3200000,36,88888,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST3836/2026,Simbithi Eco Estate,SIMBITHI,36,0,SS ILALA,36,Simbithi,Sicklebush,3,2026-01-16,2026-02-25,3700000,220,16818,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST3808/2026,Simbithi Eco Estate,SIMBITHI,731,0,SS ETHAFENI,46,Simbithi,Dragon Tree,4,,2026-02-25,0,179,0,False,natural_person,natural_person,1,sectional_title,False,lightstone_export
ST3676/2026,Simbithi Eco Estate,SIMBITHI,36,0,SS ILALA,72,Simbithi,Sicklebush,3,2025-11-25,2026-02-24,4195000,220,19068,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T3262/2026,Simbithi Eco Estate,SIMBITHI,845,0,,,Simbithi,Bush Willow,5,2025-12-14,2026-02-20,8650000,1629,5310,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST3230/2026,Simbithi Eco Estate,SIMBITHI,6,0,SS TAMBOTI,44,Simbithi,Tamboti,11,2025-10-09,2026-02-13,5100000,277,18411,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST2691/2026,Simbithi Eco Estate,SIMBITHI,497,0,SS SABUTI,22,Simbithi,Sicklebush,4,2025-11-30,2026-02-10,4400000,296,14864,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T2718/2026,Simbithi Eco Estate,SIMBITHI,1293,0,,,Simbithi,Barringtonia,1293,2025-10-16,2026-02-10,6750000,642,10514,False,natural_person,legal_entity,2,freehold,True,lightstone_export
ST2644/2026,Simbithi Eco Estate,SIMBITHI,497,0,SS SABUTI,35,Simbithi,Sicklebush,4,2025-11-10,2026-02-09,6000000,289,20761,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST2424/2026,Simbithi Eco Estate,SIMBITHI,50,0,SS FISH EAGLE RIDGE,12,Simbithi,Simbithi,50,2025-10-30,2026-02-05,6850000,382,17931,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST2194/2026,Simbithi Eco Estate,SIMBITHI,166,0,SS SAVANNA,8,Simbithi,Bridelia,5,2025-11-28,2026-02-03,3595000,142,25316,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T1622/2026,Simbithi Eco Estate,SIMBITHI,1028,0,,,Simbithi,Buffalo Thorn,1,2025-06-11,2026-01-29,3000000,1178,2546,False,legal_entity,natural_person,1,freehold,True,lightstone_export
T1473/2026,Simbithi Eco Estate,SIMBITHI,686,0,,,Simbithi,Feverberry,49,2025-12-04,2026-01-28,14000000,1550,9032,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST1427/2026,Simbithi Eco Estate,SIMBITHI,731,0,SS ETHAFENI,28,Simbithi,Dragon Tree,4,2025-11-13,2026-01-27,3050000,138,22101,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
