title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
T20005/2025,Dunkirk Estate,DUNKIRK ESTATE,183,0,,,Dunkirk Estate,Toleda,183,2025-01-28,2025-08-05,4995000,422,11836,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST19946/2025,Dunkirk Estate,DUNKIRK ESTATE,96,0,SS SANDWOOD HILLS,1,Dunkirk Estate,Sameja,96,2025-06-27,2025-08-04,4250000,230,18478,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST18336/2025,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,33,Dunkirk Estate,,,2025-06-08,2025-07-18,3500000,154,22727,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T17254/2025,Dunkirk Estate,DUNKIRK ESTATE,175,0,,,Dunkirk Estate,Short,175,2025-04-25,2025-07-08,4800000,419,11455,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST15126/2025,Dunkirk Estate,DUNKIRK ESTATE,208,0,SS SAXONWOOD,3,Dunkirk Estate,,,2025-02-04,2025-06-17,7495000,446,16804,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T13601/2025,Dunkirk Estate,DUNKIRK ESTATE,185,0,,,Dunkirk Estate,,,2025-04-23,2025-06-02,4500000,400,11250,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST12444/2025,Dunkirk Estate,DUNKIRK ESTATE,96,0,SS SANDWOOD HILLS,18,Dunkirk Estate,Sameja,96,2024-12-12,2025-05-22,4260000,232,18362,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T11970/2025,Dunkirk Estate,DUNKIRK ESTATE,153,0,,,Dunkirk Estate,Ashwood,2,2025-03-03,2025-05-19,3875000,416,9314,False,natural_person,legal_entity,2,freehold,True,lightstone_export
T9788/2025,Dunkirk Estate,DUNKIRK ESTATE,55,0,,,Dunkirk Estate,Boundary,55,2024-12-09,2025-04-25,7400000,1467,5044,False,natural_person,natural_person,1,freehold,True,lightstone_export
T7625/2025,Dunkirk Estate,DUNKIRK ESTATE,45,0,,,Dunkirk Estate,Sameja,45,2025-01-23,2025-04-01,13500000,1774,7609,False,natural_person,legal_entity,1,freehold,True,lightstone_export
T6262/2025,Dunkirk Estate,DUNKIRK ESTATE,81,0,,,Dunkirk Estate,Forest,81,2025-02-17,2025-03-19,6300000,432,14583,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST4414/2025,Dunkirk Estate,DUNKIRK ESTATE,96,0,SS SANDWOOD HILLS,7,Dunkirk Estate,Sameja,96,2024-11-05,2025-02-28,4225000,230,18369,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
