title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
ST6077/2015,Black Rock,SHAKAS ROCK,204,1,SS PERISSA,47,Black Rock,,,2014-10-20,2015-03-09,2340000,117,20000,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST5378/2015,Black Rock,SHAKAS ROCK,204,13,SS PYRGOS,1,Black Rock,Pyrgos General,4,,2015-03-02,0,198,0,False,natural_person,natural_person,3,sectional_title,False,lightstone_export
ST4273/2015,Black Rock,SHAKAS ROCK,204,1,SS PERISSA,54,Black Rock,,,2014-10-04,2015-02-20,1900000,137,13868,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST2775/2015,Black Rock,SHAKAS ROCK,204,13,SS PYRGOS,28,Black Rock,Pyrgos General,4,2015-01-01,2015-02-06,98000,21,4666,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST43873/2014,Black Rock,SHAKAS ROCK,204,12,SS AKROTIRI,28,Black Rock,Ocean,101,2014-10-14,2014-12-19,2975298,133,22370,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST40657/2014,Black Rock,SHAKAS ROCK,204,1,SS PERISSA,4,Black Rock,,,2014-09-10,2014-11-28,2100000,114,18421,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST39734/2014,Black Rock,SHAKAS ROCK,204,13,SS PYRGOS,28,Black Rock,Pyrgos General,4,2014-03-22,2014-11-24,1256500,21,59833,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST32319/2014,Black Rock,SHAKAS ROCK,204,3,SS THIRA,53,Black Rock,Ocean,70,2014-08-09,2014-09-29,80000,19,4210,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST30753/2014,Black Rock,SHAKAS ROCK,204,12,SS AKROTIRI,31,Black Rock,Ocean,101,2014-07-25,2014-09-12,1440000,120,12000,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST29292/2014,Black Rock,SHAKAS ROCK,204,3,SS THIRA,14,Black Rock,Ocean,70,2014-04-30,2014-08-29,1400000,100,14000,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
